dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10428,14427,4000,small,low,3,N/A,6.77,2022.62,2016.27,2030.49,"[10210.0000,11510.0000]",10210.0000,11510.0000,0.4086,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,6332,10331,4000,small,low,3,N/A,6.77,2018.11,2015.61,2021.14,"[4284.0000,9759.0000]",4284.0000,9759.0000,0.7235,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,33477,37476,4000,small,high,3,N/A,6.77,2024.43,2015.81,2035.69,"[33288.0000,37476.0000]",33288.0000,37476.0000,0.9769,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10419,22418,12000,medium,low,3,N/A,6.77,2018.34,2016.16,2020.91,"[13745.0000,22911.0000]",13745.0000,22911.0000,0.8196,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1346,13345,12000,medium,low,3,N/A,6.77,2018.01,2015.73,2020.06,"[3451.0000,9671.0000]",3451.0000,9671.0000,0.6828,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,13590,25589,12000,medium,mid,3,N/A,6.77,2019.19,2015.77,2021.27,"[13650.0000,25039.0000]",13650.0000,25039.0000,0.9739,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,19388,39387,20000,large,mid,3,N/A,6.77,2019.24,2018.34,2019.83,"[18690.0000,39438.0000]",18690.0000,39438.0000,0.9816,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10544,30543,20000,large,low,3,N/A,6.77,2019.18,2016.01,2022.52,"[13209.0000,29004.0000]",13209.0000,29004.0000,0.8826,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,4746,24745,20000,large,low,3,N/A,6.77,2018.78,2017.31,2019.78,"[13241.0000,24874.0000]",13241.0000,24874.0000,0.7274,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10428,14427,4000,small,low,3,N/A,6.76,59096.67,58349.78,59972.72,"[10210.0000,11510.0000]",10210.0000,11510.0000,0.4086,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,6332,10331,4000,small,low,3,N/A,6.76,4910.53,4864.77,4975.06,"[4284.0000,9759.0000]",4284.0000,9759.0000,0.7235,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,33477,37476,4000,small,high,3,N/A,6.76,190.14,187.84,192.83,"[33288.0000,37476.0000]",33288.0000,37476.0000,0.9769,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10419,22418,12000,medium,low,3,N/A,6.76,20022.29,19876.15,20149.09,"[13745.0000,22911.0000]",13745.0000,22911.0000,0.8196,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1346,13345,12000,medium,low,3,N/A,6.76,34606.75,34445.29,34700.55,"[3451.0000,9671.0000]",3451.0000,9671.0000,0.6828,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,13590,25589,12000,medium,mid,3,N/A,6.76,169.94,169.39,170.49,"[13650.0000,25039.0000]",13650.0000,25039.0000,0.9739,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,19388,39387,20000,large,mid,3,N/A,6.76,293.52,292.25,294.73,"[18690.0000,39438.0000]",18690.0000,39438.0000,0.9816,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10544,30543,20000,large,low,3,N/A,6.76,22437.96,22364.62,22525.55,"[13209.0000,29004.0000]",13209.0000,29004.0000,0.8826,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,4746,24745,20000,large,low,3,N/A,6.76,134850.81,134252.84,135414.60,"[13241.0000,24874.0000]",13241.0000,24874.0000,0.7274,NO
40000_5,40000,5,trees,range_opt,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,10428,14427,4000,small,low,3,N/A,593.52,6.16,6.11,6.20,"[10210.0000,11510.0000]",10210.0000,11510.0000,0.4086,NO
