dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,2201,6200,4000,small,low,3,N/A,6.63,2259.03,2230.06,2314.93,"[2279.0000,7372.0000]",2279.0000,7372.0000,0.9296,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9389,13388,4000,small,low,3,N/A,6.63,2260.01,2231.80,2315.61,"[9382.0000,11848.0000]",9382.0000,11848.0000,0.6661,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,6582,10581,4000,small,low,3,N/A,6.63,2260.35,2232.45,2315.41,"[3507.0000,10753.0000]",3507.0000,10753.0000,0.8603,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,7392,19391,12000,medium,low,3,N/A,6.63,2266.68,2238.70,2322.44,"[13174.0000,19391.0000]",13174.0000,19391.0000,0.5734,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,22731,34730,12000,medium,mid,3,N/A,6.63,2272.99,2246.75,2324.84,"[22789.0000,35591.0000]",22789.0000,35591.0000,0.9820,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,8613,20612,12000,medium,low,3,N/A,6.63,2266.69,2239.43,2320.08,"[13062.0000,20632.0000]",13062.0000,20632.0000,0.6794,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,4110,24109,20000,large,low,3,N/A,6.63,2268.43,2240.00,2323.88,"[13011.0000,24981.0000]",13011.0000,24981.0000,0.6034,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,401,20400,20000,large,low,3,N/A,6.63,2265.90,2236.29,2322.73,"[389.0000,12653.0000]",389.0000,12653.0000,0.6640,NO
40000_5,40000,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9694,29693,20000,large,low,3,N/A,6.63,2272.53,2240.03,2326.61,"[13211.0000,30682.0000]",13211.0000,30682.0000,0.8455,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,2201,6200,4000,small,low,3,N/A,6.73,488.70,483.51,491.69,"[2279.0000,7372.0000]",2279.0000,7372.0000,0.9296,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9389,13388,4000,small,low,3,N/A,6.73,28809.29,28649.39,28934.29,"[9382.0000,11848.0000]",9382.0000,11848.0000,0.6661,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,6582,10581,4000,small,low,3,N/A,6.73,2633.30,2614.64,2652.47,"[3507.0000,10753.0000]",3507.0000,10753.0000,0.8603,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,7392,19391,12000,medium,low,3,N/A,6.73,154237.06,152679.32,155996.56,"[13174.0000,19391.0000]",13174.0000,19391.0000,0.5734,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,22731,34730,12000,medium,mid,3,N/A,6.73,210.07,207.37,211.62,"[22789.0000,35591.0000]",22789.0000,35591.0000,0.9820,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,8613,20612,12000,medium,low,3,N/A,6.73,135214.00,133690.96,136360.55,"[13062.0000,20632.0000]",13062.0000,20632.0000,0.6794,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,4110,24109,20000,large,low,3,N/A,6.73,153599.01,153551.18,153673.23,"[13011.0000,24981.0000]",13011.0000,24981.0000,0.6034,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,401,20400,20000,large,low,3,N/A,6.73,99046.69,99031.84,99070.15,"[389.0000,12653.0000]",389.0000,12653.0000,0.6640,NO
40000_5,40000,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9694,29693,20000,large,low,3,N/A,6.73,78570.55,77993.31,79508.33,"[13211.0000,30682.0000]",13211.0000,30682.0000,0.8455,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,2201,6200,4000,small,low,3,N/A,592.47,9.40,9.37,9.42,"[2279.0000,7372.0000]",2279.0000,7372.0000,0.9296,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9389,13388,4000,small,low,3,N/A,592.47,56.78,56.67,56.89,"[9382.0000,11848.0000]",9382.0000,11848.0000,0.6661,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,6582,10581,4000,small,low,3,N/A,592.47,19.62,19.58,19.67,"[3507.0000,10753.0000]",3507.0000,10753.0000,0.8603,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,7392,19391,12000,medium,low,3,N/A,592.47,62.61,62.60,62.63,"[13174.0000,19391.0000]",13174.0000,19391.0000,0.5734,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,22731,34730,12000,medium,mid,3,N/A,592.47,19.25,19.23,19.28,"[22789.0000,35591.0000]",22789.0000,35591.0000,0.9820,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,8613,20612,12000,medium,low,3,N/A,592.47,62.43,62.41,62.45,"[13062.0000,20632.0000]",13062.0000,20632.0000,0.6794,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,4110,24109,20000,large,low,3,N/A,592.47,62.44,62.31,62.67,"[13011.0000,24981.0000]",13011.0000,24981.0000,0.6034,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,401,20400,20000,large,low,3,N/A,592.47,40.14,40.03,40.34,"[389.0000,12653.0000]",389.0000,12653.0000,0.6640,NO
40000_5,40000,5,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9694,29693,20000,large,low,3,N/A,592.47,67.42,67.31,67.62,"[13211.0000,30682.0000]",13211.0000,30682.0000,0.8455,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,2201,6200,4000,small,low,3,N/A,7.93,2.84,2.83,2.86,"[2279.0000,7372.0000]",2279.0000,7372.0000,0.9296,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9389,13388,4000,small,low,3,N/A,7.93,8.97,8.96,9.00,"[9382.0000,11848.0000]",9382.0000,11848.0000,0.6661,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,6582,10581,4000,small,low,3,N/A,7.93,2.47,2.45,2.49,"[3507.0000,10753.0000]",3507.0000,10753.0000,0.8603,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,7392,19391,12000,medium,low,3,N/A,7.93,10.78,10.71,10.89,"[13174.0000,19391.0000]",13174.0000,19391.0000,0.5734,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,22731,34730,12000,medium,mid,3,N/A,7.93,3.42,3.41,3.44,"[22789.0000,35591.0000]",22789.0000,35591.0000,0.9820,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,8613,20612,12000,medium,low,3,N/A,7.93,10.67,10.66,10.68,"[13062.0000,20632.0000]",13062.0000,20632.0000,0.6794,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,4110,24109,20000,large,low,3,N/A,7.93,10.78,10.68,10.93,"[13011.0000,24981.0000]",13011.0000,24981.0000,0.6034,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,401,20400,20000,large,low,3,N/A,7.93,5.79,5.77,5.80,"[389.0000,12653.0000]",389.0000,12653.0000,0.6640,NO
40000_5,40000,5,trees,kd_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9694,29693,20000,large,low,3,N/A,7.93,11.36,11.35,11.38,"[13211.0000,30682.0000]",13211.0000,30682.0000,0.8455,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,2201,6200,4000,small,low,3,N/A,7.15,237.07,232.55,241.02,"[2279.0000,7372.0000]",2279.0000,7372.0000,0.9296,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9389,13388,4000,small,low,3,N/A,7.15,2931.62,2918.47,2940.42,"[9382.0000,11848.0000]",9382.0000,11848.0000,0.6661,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,6582,10581,4000,small,low,3,N/A,7.15,754.98,751.75,757.53,"[3507.0000,10753.0000]",3507.0000,10753.0000,0.8603,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,7392,19391,12000,medium,low,3,N/A,7.15,3740.40,3725.27,3751.68,"[13174.0000,19391.0000]",13174.0000,19391.0000,0.5734,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,22731,34730,12000,medium,mid,3,N/A,7.15,763.97,763.23,764.88,"[22789.0000,35591.0000]",22789.0000,35591.0000,0.9820,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,8613,20612,12000,medium,low,3,N/A,7.15,3719.17,3705.70,3729.53,"[13062.0000,20632.0000]",13062.0000,20632.0000,0.6794,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,4110,24109,20000,large,low,3,N/A,7.15,3976.91,3955.19,3989.54,"[13011.0000,24981.0000]",13011.0000,24981.0000,0.6034,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,401,20400,20000,large,low,3,N/A,7.15,1876.74,1863.97,1883.39,"[389.0000,12653.0000]",389.0000,12653.0000,0.6640,NO
40000_5,40000,5,trees,rtree_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,9694,29693,20000,large,low,3,N/A,7.15,3992.37,3973.89,4001.95,"[13211.0000,30682.0000]",13211.0000,30682.0000,0.8455,NO
