dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,77.876,82.48,5.603999999999999,small,low,3,N/A,6.76,1664.89,1651.95,1687.18,"[78.2940,78.3590]",78.2940,78.3590,0.0291,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,75.007,79.238,5.2309999999999945,small,low,3,N/A,6.76,1661.94,1653.90,1677.19,"[76.1040,76.1860]",76.1040,76.1860,0.0386,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,103.485,111.312,8.826999999999998,small,high,3,N/A,6.76,1666.87,1652.13,1694.65,"[111.0410,111.4550]",111.0410,111.4550,0.0565,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,98.688,126.626,28.938000000000002,medium,mid,3,N/A,6.76,1655.80,1651.99,1660.35,"[111.0550,111.5240]",111.0550,111.5240,0.0335,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,79.786,93.199,14.412999999999997,medium,low,3,N/A,6.76,1655.21,1652.25,1659.43,"[90.5540,90.6850]",90.5540,90.6850,0.0184,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,83.895,97.458,14.563000000000002,medium,low,3,N/A,6.76,1657.50,1652.32,1664.87,"[90.5540,90.6850]",90.5540,90.6850,0.0184,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,77.087,99.453,23.366,large,low,3,N/A,6.76,1666.35,1652.39,1687.17,"[90.5540,90.6850]",90.5540,90.6850,0.0111,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,71.868,95.488,24.620000000000005,large,low,3,N/A,6.76,1655.62,1652.48,1659.45,"[90.5540,90.6850]",90.5540,90.6850,0.0111,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,77.357,99.744,23.387,large,low,3,N/A,6.76,1659.18,1652.46,1665.51,"[90.5540,90.6850]",90.5540,90.6850,0.0111,NO
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,77.876,82.48,5.603999999999999,small,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,75.007,79.238,5.2309999999999945,small,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,103.485,111.312,8.826999999999998,small,high,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
