dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,92.934,97.489,5.555000000000007,small,mid,3,N/A,6.76,1658.92,1657.79,1660.57,"[97.1080,97.2770]",97.1080,97.2770,0.0437,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,75.418,79.642,5.2239999999999895,small,low,3,N/A,6.76,1658.53,1657.56,1659.95,"[77.1260,77.3300]",77.1260,77.3300,0.0638,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,92.06700000000001,96.521,5.4539999999999935,small,mid,3,N/A,6.76,1660.43,1658.56,1662.25,"[92.0680,92.2310]",92.0680,92.2310,0.0427,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,79.373,92.846,14.472999999999999,medium,low,3,N/A,6.76,1658.40,1657.41,1660.28,"[91.1380,91.4320]",91.1380,91.4320,0.0244,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,81.58,94.699,14.119,medium,low,3,N/A,6.76,1659.76,1659.30,1660.63,"[91.1380,91.4320]",91.1380,91.4320,0.0244,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,70.673,85.354,15.680999999999997,medium,low,3,N/A,6.76,1659.41,1658.88,1660.12,"[77.1260,77.3300]",77.1260,77.3300,0.0214,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,83.538,108.03999999999999,25.501999999999995,large,low,3,N/A,6.76,1661.68,1659.14,1665.10,"[91.1380,91.4320]",91.1380,91.4320,0.0147,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,82.306,105.66,24.354,large,low,3,N/A,6.76,1660.06,1659.14,1660.58,"[91.1380,91.4320]",91.1380,91.4320,0.0147,NO
f1_processed.csv,36565,5,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,78.795,101.154,23.358999999999995,large,low,3,N/A,6.76,1659.89,1659.05,1660.33,"[91.1380,91.4320]",91.1380,91.4320,0.0147,NO
f1_processed.csv,36565,5,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,92.934,97.489,5.555000000000007,small,mid,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
