time,color
67.012,SOFT
67.05799999999999,SOFT
67.275,MEDIUM
67.583,MEDIUM
67.737,HARD
67.762,MEDIUM
67.78,HARD
67.804,MEDIUM
67.814,MEDIUM
67.835,HARD
67.86,HARD
67.862,HARD
67.894,MEDIUM
67.938,MEDIUM
67.947,HARD
67.95,HARD
67.975,HARD
67.987,MEDIUM
67.992,HARD
68.01,MEDIUM
68.012,HARD
68.017,HARD
68.049,MEDIUM
68.07,MEDIUM
68.101,MEDIUM
68.106,HARD
68.111,HARD
68.113,MEDIUM
68.126,HARD
68.146,HARD
68.147,HARD
68.15,MEDIUM
68.169,MEDIUM
68.172,HARD
68.173,HARD
68.19200000000001,HARD
68.203,MEDIUM
68.211,MEDIUM
68.235,MEDIUM
68.237,HARD
68.242,HARD
68.25,HARD
68.271,MEDIUM
68.272,HARD
68.273,MEDIUM
68.282,MEDIUM
68.311,HARD
68.319,HARD
68.324,HARD
68.327,HARD
68.328,HARD
68.32900000000001,HARD
68.342,MEDIUM
68.35,HARD
68.354,HARD
68.362,HARD
68.374,HARD
68.38,HARD
68.389,HARD
68.396,HARD
68.399,HARD
68.405,HARD
68.412,MEDIUM
68.416,HARD
68.42,HARD
68.424,HARD
68.42699999999999,HARD
68.429,HARD
68.438,MEDIUM
68.439,HARD
68.444,HARD
68.445,HARD
68.447,HARD
68.45400000000001,HARD
68.455,HARD
68.459,HARD
68.461,HARD
68.463,MEDIUM
68.471,HARD
68.473,HARD
68.477,HARD
68.482,HARD
68.484,MEDIUM
68.485,MEDIUM
68.489,HARD
68.49,HARD
68.491,HARD
68.492,MEDIUM
68.494,HARD
68.499,HARD
68.515,HARD
68.517,HARD
68.52,MEDIUM
68.523,HARD
68.524,MEDIUM
68.525,HARD
68.529,MEDIUM
68.533,HARD
68.535,MEDIUM
68.536,HARD
68.537,MEDIUM
68.539,MEDIUM
68.541,HARD
68.549,HARD
68.55199999999999,HARD
68.553,HARD
68.55799999999999,MEDIUM
68.563,HARD
68.566,HARD
68.56700000000001,MEDIUM
68.574,HARD
68.57900000000001,HARD
68.58,HARD
68.582,HARD
68.583,MEDIUM
68.58500000000001,MEDIUM
68.591,HARD
68.594,HARD
68.596,HARD
68.601,MEDIUM
68.604,HARD
68.609,HARD
68.61,HARD
68.617,HARD
68.619,HARD
68.62,HARD
68.623,HARD
68.624,MEDIUM
68.633,HARD
68.634,HARD
68.635,HARD
68.636,HARD
68.638,MEDIUM
68.64,HARD
68.641,HARD
68.646,HARD
68.647,MEDIUM
68.65,HARD
68.655,HARD
68.659,HARD
68.664,HARD
68.66499999999999,MEDIUM
68.666,HARD
68.668,HARD
68.669,HARD
68.67,HARD
68.673,HARD
68.67699999999999,HARD
68.678,HARD
68.679,HARD
68.681,MEDIUM
68.68299999999999,HARD
68.686,HARD
68.687,HARD
68.689,HARD
68.69200000000001,HARD
68.693,HARD
68.694,HARD
68.695,HARD
68.69800000000001,HARD
68.7,MEDIUM
68.701,HARD
68.702,HARD
68.705,MEDIUM
68.709,MEDIUM
68.71000000000001,HARD
68.711,HARD
68.714,HARD
68.72,MEDIUM
68.721,HARD
68.726,HARD
68.728,HARD
68.73,HARD
68.731,HARD
68.735,HARD
68.736,HARD
68.738,MEDIUM
68.739,HARD
68.74,HARD
68.741,MEDIUM
68.742,HARD
68.746,HARD
68.753,HARD
68.756,HARD
68.757,HARD
68.758,HARD
68.76,HARD
68.761,HARD
68.764,HARD
68.765,HARD
68.766,HARD
68.767,HARD
68.769,HARD
68.772,HARD
68.776,HARD
68.782,HARD
68.787,HARD
68.791,HARD
68.792,HARD
68.799,HARD
68.801,HARD
68.804,HARD
68.807,HARD
68.80799999999999,HARD
68.809,HARD
68.81,HARD
68.811,MEDIUM
68.812,HARD
68.81700000000001,HARD
68.818,HARD
68.82,HARD
68.822,HARD
68.82300000000001,HARD
68.824,HARD
68.825,HARD
68.83,HARD
68.833,MEDIUM
68.836,HARD
68.837,HARD
68.841,HARD
68.842,MEDIUM
68.843,HARD
68.844,HARD
68.845,HARD
68.847,MEDIUM
68.848,HARD
68.849,HARD
68.852,HARD
68.854,HARD
68.855,MEDIUM
68.856,HARD
68.859,HARD
68.86,HARD
68.861,HARD
68.863,HARD
68.866,HARD
68.87,HARD
68.871,MEDIUM
68.872,MEDIUM
68.873,MEDIUM
68.874,HARD
68.876,HARD
68.878,MEDIUM
68.879,HARD
68.88,HARD
68.881,HARD
68.882,MEDIUM
68.884,HARD
68.885,MEDIUM
68.887,HARD
68.888,HARD
68.889,HARD
68.893,HARD
68.894,HARD
68.896,HARD
68.899,HARD
68.9,HARD
68.901,HARD
68.903,HARD
68.904,HARD
68.906,HARD
