dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,6.53,1349.83,1344.29,1353.38,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.9443,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,6.53,1348.73,1343.46,1352.20,"[1779111626.6739,1779111798.6757]",1779111626.6739,1779111798.6757,0.8799,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111099.2467265,1779111222.8579738,3200,small,low,3,N/A,6.53,1345.45,1341.81,1349.44,"[1779111123.2003,1779111343.7649]",1779111123.2003,1779111343.7649,0.6902,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,6.53,1347.85,1343.96,1352.39,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8118,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,6.53,1342.57,1339.39,1345.49,"[1779111582.7047,1779111984.1151]",1779111582.7047,1779111984.1151,0.3428,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,6.53,1351.68,1347.67,1356.77,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8880,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,6.53,1343.63,1339.11,1347.59,"[1779111142.1847,1779111344.9211]",1779111142.1847,1779111344.9211,0.3442,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,6.53,1350.39,1345.63,1354.69,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9170,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,6.53,1347.98,1343.26,1353.35,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4087,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,6.72,159.84,158.11,162.00,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.9443,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,6.72,1059.21,1050.99,1071.79,"[1779111626.6739,1779111798.6757]",1779111626.6739,1779111798.6757,0.8799,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111099.2467265,1779111222.8579738,3200,small,low,3,N/A,6.72,3267.48,3247.29,3282.92,"[1779111123.2003,1779111343.7649]",1779111123.2003,1779111343.7649,0.6902,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111515.000994,1779111892.5361588,9600,medium,mid,3,N/A,6.72,38998.56,38686.59,39427.51,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8118,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111341.7179496,1779111711.3937724,9600,medium,low,3,N/A,6.72,149129.06,148576.53,150001.31,"[1779111582.7047,1779111984.1151]",1779111582.7047,1779111984.1151,0.3428,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111543.7202594,1779111919.1924682,9600,medium,mid,3,N/A,6.72,11577.80,11565.96,11587.13,"[1779111582.9079,1779111982.9588]",1779111582.9079,1779111982.9588,0.8880,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111160.1848187,1779111779.784975,16000,large,low,3,N/A,6.72,167243.04,166634.44,168284.24,"[1779111142.1847,1779111344.9211]",1779111142.1847,1779111344.9211,0.3442,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111616.0332344,1779112240.6051123,16000,large,mid,3,N/A,6.72,10393.84,10347.18,10418.33,"[1779111677.9243,1779112241.6208]",1779111677.9243,1779112241.6208,0.9170,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111112.622143,1779111728.9563231,16000,large,low,3,N/A,6.72,155125.54,154300.84,155976.89,"[1779111123.2159,1779111343.9367]",1779111123.2159,1779111343.9367,0.4087,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111990.1776173,1779112113.0551577,3200,small,high,3,N/A,423.77,9.40,9.36,9.42,"[1779111951.7244,1779112113.0552]",1779111951.7244,1779112113.0552,0.9443,NO
live_l2_unique_32k.csv,32000,3,trees,range_opt,D,10.0,0.0,1.0,1.0,0.2,0.8,2,0,0,2,1779111620.0176175,1779111743.1907456,3200,small,mid,3,N/A,423.77,31.08,30.96,31.21,"[1779111626.6739,1779111798.6757]",1779111626.6739,1779111798.6757,0.8799,NO
