dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,coverage_percent,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,35783,39782,4000,small,high,3,N/A,6.84,5170.87,5141.38,5190.38,"[35783.0000,39782.0000]",35783.0000,39782.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,24823,28822,4000,small,mid,3,N/A,6.84,5100.90,5072.04,5151.92,"[24823.0000,28822.0000]",24823.0000,28822.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,6848,10847,4000,small,low,3,N/A,6.84,5122.34,5114.84,5128.67,"[6848.0000,10847.0000]",6848.0000,10847.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,27312,39311,12000,medium,high,3,N/A,6.84,4782.44,4759.27,4798.34,"[27312.0000,39311.0000]",27312.0000,39311.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,3101,15100,12000,medium,low,3,N/A,6.84,4755.04,4729.27,4775.84,"[3101.0000,15100.0000]",3101.0000,15100.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,3515,15514,12000,medium,low,3,N/A,6.84,4738.80,4710.97,4768.94,"[3515.0000,15514.0000]",3515.0000,15514.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,19248,39247,20000,large,mid,3,N/A,6.84,4406.47,4374.97,4433.59,"[19248.0000,39247.0000]",19248.0000,39247.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,11863,31862,20000,large,low,3,N/A,6.84,4394.60,4378.48,4408.78,"[11863.0000,31862.0000]",11863.0000,31862.0000,1.0000,NO
40000_5,40000,5,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,18274,38273,20000,large,mid,3,N/A,6.84,4408.62,4383.28,4440.94,"[18274.0000,38273.0000]",18274.0000,38273.0000,1.0000,NO
40000_5,40000,5,bfs,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,35783,39782,4000,small,high,3,N/A,6.82,0.00,0.00,0.00,"[35783.0000,39782.0000]",35783.0000,39782.0000,1.0000,NO
