dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,coverage_percent,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111142.4972541,1779111267.3736467,125.87639260292053,small,low,3,N/A,6.59,2766.63,2761.21,2770.55,"[1779111142.4973,1779111267.3736]",1779111142.4973,1779111267.3736,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111748.6595163,1779111876.7233472,129.06383085250854,small,mid,3,N/A,6.59,2708.78,2687.54,2748.26,"[1779111748.6595,1779111876.6296]",1779111748.6595,1779111876.6296,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111882.1296074,1779112005.474537,124.34492945671082,small,mid,3,N/A,6.59,2734.71,2709.97,2780.54,"[1779111882.1296,1779112005.4745]",1779111882.1296,1779112005.4745,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111651.392963,1779112027.8971555,377.5041925907135,medium,mid,3,N/A,6.59,2555.76,2530.96,2596.63,"[1779111651.3930,1779112027.8972]",1779111651.3930,1779112027.8972,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111258.920505,1779111628.0176535,370.0971484184265,medium,low,3,N/A,6.59,2545.90,2531.29,2567.55,"[1779111258.9205,1779111628.0177]",1779111258.9205,1779111628.0177,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111255.014251,1779111624.3145168,370.300265789032,medium,low,3,N/A,6.59,2553.76,2532.20,2587.37,"[1779111255.0143,1779111624.3145]",1779111255.0143,1779111624.3145,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111567.3453128,1779112190.9954793,624.6501665115356,large,mid,3,N/A,6.59,2397.17,2372.74,2434.10,"[1779111567.3453,1779112190.9955]",1779111567.3453,1779112190.9955,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111352.905882,1779111973.005692,621.0998101234436,large,low,3,N/A,6.59,2386.21,2361.74,2415.86,"[1779111352.9059,1779111973.0057]",1779111352.9059,1779111973.0057,1.0000,NO
live_l2_unique_32k.csv,32000,3,brute,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111357.968383,1779111978.4275968,621.4592137336731,large,low,3,N/A,6.59,2391.63,2360.02,2428.47,"[1779111357.9684,1779111978.4276]",1779111357.9684,1779111978.4276,1.0000,NO
live_l2_unique_32k.csv,32000,3,bfs,fair_cov,C,0.0,0.0,1.0,1.0,0.5,0.5,0,0,1,5,0,1779111142.4972541,1779111267.3736467,125.87639260292053,small,low,3,N/A,6.65,0.00,0.00,0.00,"[1779111142.4973,1779111267.3736]",1779111142.4973,1779111267.3736,1.0000,NO
