dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,coverage_percent,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,79.633,84.04599999999999,5.412999999999997,small,low,3,N/A,6.59,1666.04,1649.70,1694.84,"[82.4730,82.5650]",82.4730,82.5650,0.0439,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,96.188,100.702,5.513999999999996,small,mid,3,N/A,6.59,1666.74,1649.01,1701.56,"[96.2800,98.0640]",96.2800,98.0640,0.5391,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,76.371,80.846,5.4750000000000085,small,low,3,N/A,6.59,1663.43,1648.81,1691.21,"[79.1780,79.2110]",79.1780,79.2110,0.0152,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,90.075,104.239,15.164000000000001,medium,mid,3,N/A,6.59,1670.78,1649.82,1685.34,"[96.2800,98.0640]",96.2800,98.0640,0.2190,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,92.94200000000001,108.731,16.788999999999987,medium,mid,3,N/A,6.59,1663.00,1648.69,1682.57,"[96.2800,98.0640]",96.2800,98.0640,0.2190,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,90.39699999999999,104.711,15.314000000000007,medium,mid,3,N/A,6.59,1667.65,1649.44,1685.23,"[96.2800,98.0640]",96.2800,98.0640,0.2190,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,82.201,105.42099999999999,24.22,large,low,3,N/A,6.59,1668.38,1649.23,1682.93,"[96.2800,98.0640]",96.2800,98.0640,0.1374,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,69.412,93.445,25.032999999999987,large,low,3,N/A,6.59,1660.27,1649.08,1681.63,"[88.6350,88.8440]",88.6350,88.8440,0.0180,NO
f1_processed.csv,36565,5,brute,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,74.972,97.213,23.241,large,low,3,N/A,6.59,1662.46,1648.73,1688.94,"[96.2800,98.0640]",96.2800,98.0640,0.0687,NO
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,79.633,84.04599999999999,5.412999999999997,small,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,96.188,100.702,5.513999999999996,small,mid,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,76.371,80.846,5.4750000000000085,small,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,90.075,104.239,15.164000000000001,medium,mid,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,92.94200000000001,108.731,16.788999999999987,medium,mid,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,90.39699999999999,104.711,15.314000000000007,medium,mid,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,82.201,105.42099999999999,24.22,large,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,69.412,93.445,25.032999999999987,large,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,bfs,fair,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,74.972,97.213,23.241,large,low,1,N/A,N/A,N/A,N/A,N/A,"[NA,NA]",NA,NA,0.0,YES
f1_processed.csv,36565,5,trees,range_opt,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,79.633,84.04599999999999,5.412999999999997,small,low,3,N/A,485.35,3.62,3.61,3.63,"[82.4730,82.5650]",82.4730,82.5650,0.0439,NO
f1_processed.csv,36565,5,trees,range_opt,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,96.188,100.702,5.513999999999996,small,mid,3,N/A,485.35,3.94,3.92,3.97,"[96.2800,98.0640]",96.2800,98.0640,0.5391,NO
f1_processed.csv,36565,5,trees,range_opt,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,76.371,80.846,5.4750000000000085,small,low,3,N/A,485.35,2.19,2.17,2.21,"[79.1780,79.2110]",79.1780,79.2110,0.0152,NO
f1_processed.csv,36565,5,trees,range_opt,D,0.0,0.0,1.0,3.0,0.5,0.5,2,0,0,0,2,90.075,104.239,15.164000000000001,medium,mid,3,N/A,485.35,5.10,5.08,5.14,"[96.2800,98.0640]",96.2800,98.0640,0.2190,NO
