dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,6.47,1266.21,1265.68,1267.08,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111135.9972236,1779111260.9205031,125.92327952384949,small,low,3,N/A,6.47,1266.46,1265.74,1267.07,"[1779111164.2005,1779111256.3267]",1779111164.2005,1779111256.3267,0.8516,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111172.0760076,1779111295.2021565,124.12614893913269,small,low,3,N/A,6.47,1266.29,1265.86,1267.09,"[1779111164.8099,1779111305.8898]",1779111164.8099,1779111305.8898,0.9329,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111255.7485957,1779111625.0488963,370.30030059814453,medium,low,3,N/A,6.47,1266.47,1265.72,1267.91,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111309.3740814,1779111678.0961893,369.72210788726807,medium,low,3,N/A,6.47,1266.59,1265.73,1267.92,"[1779111471.6102,1779111544.1421]",1779111471.6102,1779111544.1421,0.3294,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111410.7657945,1779111782.8006055,373.03481101989746,medium,low,3,N/A,6.47,1268.51,1265.63,1270.75,"[1779111630.5958,1779111820.8320]",1779111630.5958,1779111820.8320,0.5392,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111531.0170987,1779112155.4634037,625.4463050365448,large,mid,3,N/A,6.47,1266.68,1265.52,1268.11,"[1779111680.7837,1779112122.0714]",1779111680.7837,1779112122.0714,0.8281,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111482.735252,1779112105.2113838,623.4761319160461,large,low,3,N/A,6.47,1266.99,1266.37,1268.15,"[1779111680.3774,1779112099.3364]",1779111680.3774,1779112099.3364,0.8037,NO
live_l2_unique_32k.csv,32000,3,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111138.5597348,1779111756.6439154,619.0841805934906,large,low,3,N/A,6.47,1266.65,1265.76,1268.11,"[1779111157.1536,1779111321.0773]",1779111157.1536,1779111321.0773,0.4173,NO
live_l2_unique_32k.csv,32000,3,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,1779111294.0927737,1779111417.437774,124.34500026702881,small,low,3,N/A,6.65,81884.74,81253.84,82346.92,"[1779111327.3116,1779111342.5148]",1779111327.3116,1779111342.5148,0.2217,NO
