dataset,n,colors,algorithm,mode,fairness_combination,epsilon,delta,weightA,weightB,alpha,beta,num_diff_constraints,num_ratio_constraints,num_coverage_constraints,dimensions,range_from,range_to,range_size,range_bucket,range_position,iterations_done,file_load_ms,build_time_ms,avg_query_time_ms,min_query_time_ms,max_query_time_ms,result,result_from,result_to,similarity,tle
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,580,4579,4000,small,low,3,N/A,11.95,1822.60,1802.18,1854.64,"[865.0000,2140.0000]",865.0000,2140.0000,0.4837,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,27440,31439,4000,small,high,3,N/A,11.95,1819.15,1809.41,1829.08,"[27250.0000,31038.0000]",27250.0000,31038.0000,0.9241,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,27323,31322,4000,small,high,3,N/A,11.95,1822.04,1805.84,1836.90,"[27250.0000,31038.0000]",27250.0000,31038.0000,0.9542,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,24443,36442,12000,medium,mid,3,N/A,11.95,1838.32,1804.28,1868.84,"[24786.0000,36231.0000]",24786.0000,36231.0000,0.9764,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,16602,28601,12000,medium,mid,3,N/A,11.95,1816.85,1802.50,1826.51,"[16765.0000,28417.0000]",16765.0000,28417.0000,0.9853,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,5401,17400,12000,medium,low,3,N/A,11.95,1817.51,1803.92,1824.68,"[4260.0000,9767.0000]",4260.0000,9767.0000,0.4989,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,14546,34545,20000,large,mid,3,N/A,11.95,1814.94,1805.19,1833.81,"[16026.0000,34026.0000]",16026.0000,34026.0000,0.9474,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,13892,33891,20000,large,mid,3,N/A,11.95,1808.93,1804.97,1812.45,"[16027.0000,34011.0000]",16027.0000,34011.0000,0.9406,NO
40000_5,40000,5,brute,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,5475,25474,20000,large,low,3,N/A,11.95,1804.92,1802.97,1807.82,"[13209.0000,24954.0000]",13209.0000,24954.0000,0.7400,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,580,4579,4000,small,low,3,N/A,15.21,8098.27,7963.14,8360.99,"[865.0000,2140.0000]",865.0000,2140.0000,0.4837,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,27440,31439,4000,small,high,3,N/A,15.21,131.45,129.59,134.55,"[27250.0000,31038.0000]",27250.0000,31038.0000,0.9241,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,27323,31322,4000,small,high,3,N/A,15.21,73.59,65.86,78.51,"[27250.0000,31038.0000]",27250.0000,31038.0000,0.9542,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,24443,36442,12000,medium,mid,3,N/A,15.21,101.85,100.48,103.62,"[24786.0000,36231.0000]",24786.0000,36231.0000,0.9764,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,16602,28601,12000,medium,mid,3,N/A,15.21,34.46,34.31,34.64,"[16765.0000,28417.0000]",16765.0000,28417.0000,0.9853,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,5401,17400,12000,medium,low,3,N/A,15.21,218585.58,194717.73,261246.89,"[4260.0000,9767.0000]",4260.0000,9767.0000,0.4989,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,14546,34545,20000,large,mid,3,N/A,15.21,3297.85,3047.22,3793.16,"[16026.0000,34026.0000]",16026.0000,34026.0000,0.9474,NO
40000_5,40000,5,bfs,fair,D,0.0,0.0,1.0,1.0,0.5,0.5,2,0,0,2,13892,33891,20000,large,mid,3,N/A,15.21,4861.49,4537.08,5492.47,"[16027.0000,34011.0000]",16027.0000,34011.0000,0.9406,NO
