index,col0,col1,col2,col3,color
1,13090,24685,19590,8995,0
2,23970,30236,28615,27586,0
3,36555,17463,36529,53,1
4,12167,39576,29059,6628,2
5,38584,27961,15327,33387,0
6,4520,38334,13410,39150,3
7,33474,21206,10199,25382,4
8,35727,19657,24262,38866,1
9,27519,8807,18908,18758,2
10,28913,26164,27883,32955,4
11,4595,17993,2206,10909,1
12,34594,19219,23295,23906,3
13,8642,6851,24544,35997,2
14,21083,25649,17910,16830,0
15,23255,9407,34252,11048,0
16,32084,24749,24902,15921,0
17,35936,35282,33405,23045,4
18,38873,31484,2793,18084,2
19,8346,2757,17158,9646,2
20,10728,11698,9251,18257,1
21,14828,38569,35520,11802,1
22,29102,30838,36668,21578,1
23,16919,6566,28744,15614,2
24,34058,22144,33375,20177,3
25,7120,963,17595,28184,4
26,29179,23806,27002,32029,1
27,36034,10227,420,573,2
28,2621,15018,29714,25321,1
29,22600,33529,16167,6095,1
30,6352,3634,9863,37391,0
31,25525,12,15003,9565,4
32,9214,14078,9341,36073,3
33,23072,12647,26000,37942,2
34,1770,6585,8153,6248,3
35,5498,18754,5132,20702,3
36,39722,26522,15541,33045,4
37,28131,18243,22577,13266,1
38,5542,16333,37184,8847,3
39,7010,15993,15737,8454,3
40,8830,11741,10429,37373,3
41,3920,32580,38293,38054,0
42,18478,14629,5168,7944,0
43,9735,37775,9551,33459,2
44,26601,16985,28132,30457,1
45,14210,34969,34815,36239,0
46,2653,23089,36208,34655,3
47,6874,39815,12691,34666,1
48,15406,10285,26136,22059,1
49,22338,27469,1912,33462,4
50,16945,28429,33742,25648,2
51,1715,30990,8605,26425,1
52,3277,36358,20659,26458,0
53,5110,12525,19050,9712,1
54,13404,8040,37566,20500,4
55,18940,6606,28880,7665,3
56,31178,32728,23404,24356,0
57,18990,3836,11455,26378,2
58,30203,9733,12335,28642,0
59,14167,35860,6953,37663,4
60,10246,3,4087,8284,0
61,4491,38917,39586,17072,2
62,9393,18620,1417,33946,2
63,31370,31365,36088,6425,0
64,19966,26720,15388,32622,0
65,8260,3076,31036,38262,2
66,7167,19831,19085,36901,1
67,22086,23013,7244,6589,4
68,13490,20737,5586,30555,0
69,31255,11442,31089,20473,1
70,9236,39849,5969,37483,4
71,36489,8152,220,29941,2
72,26654,18542,22963,16356,3
73,20819,34699,5613,5201,2
74,38082,3846,9005,21654,2
75,4459,32135,19178,17761,2
76,19490,16990,23806,11267,2
77,26271,23543,9267,22217,1
78,4899,25552,31261,39048,3
79,30112,7863,27644,35315,1
80,25684,12485,3311,24796,0
81,31110,1966,27046,9958,0
82,34776,37319,10342,27202,0
83,8218,5683,5538,4119,1
84,39458,12812,12276,17888,4
85,18865,38900,8682,16372,0
86,28113,34470,11589,24171,2
87,21297,25587,36397,38771,4
88,34903,4807,1118,23586,2
89,11140,31851,30696,5320,1
90,10547,27166,1155,25567,2
91,39558,18325,21330,25281,1
92,15498,8579,13427,38098,2
93,21798,19720,22685,34915,3
94,18979,2732,21536,14063,1
95,35815,6214,19076,36738,1
96,25754,17905,16380,32307,4
97,29977,16416,4086,26749,3
98,13037,2359,39683,11845,0
99,15296,24376,4810,15048,3
100,36746,12027,19542,37617,4
101,11452,33459,38498,20744,1
102,35530,22364,25079,1136,2
103,22250,17674,5598,13869,2
104,13884,11215,30528,5318,0
105,16730,17383,13936,9841,3
106,1176,6031,14472,37638,2
107,28213,18290,37641,14735,0
108,13218,7137,4508,3428,4
109,33564,39450,407,7209,0
110,27237,4274,9958,4567,2
111,19307,34473,25670,18972,0
112,29392,23935,36713,6567,1
113,16581,16609,3231,23764,0
114,31416,35338,36043,7708,2
115,33094,21891,13562,27613,3
116,21749,20978,37623,15462,0
117,20249,5007,13495,30163,1
118,14394,19496,10496,20330,3
119,9548,30894,19928,33628,2
120,27558,37483,23509,29256,3
121,3291,17387,3482,37146,1
122,16345,22107,10151,33994,2
123,10546,32073,7758,16191,4
124,34705,24906,13920,27803,0
125,2927,14912,5990,10849,0
126,27929,35043,18593,19682,0
127,21106,36550,37099,12651,4
128,11408,492,7467,27231,3
129,15784,15327,14134,32566,2
130,29339,33184,28039,10626,0
131,27658,35900,11047,36070,0
132,27391,21025,35220,639,4
133,8777,14554,28400,13527,2
134,23816,6211,35702,3398,0
135,4142,4400,1437,38362,3
136,17588,1166,20624,14543,2
137,11403,18682,24463,26607,3
138,29190,13518,776,38360,2
139,26657,32000,25815,7291,4
140,33181,14552,19862,14448,3
141,7299,36621,34557,23934,4
142,3763,7605,38372,1451,3
143,34735,640,38385,2162,4
144,37317,26966,28059,10605,2
145,5324,8430,601,14764,4
146,24171,225,23475,27400,0
147,4916,32937,11976,37947,0
148,28605,30975,27751,13145,4
149,30110,6959,4265,13763,2
150,19001,3413,751,14509,3
151,29160,18931,36882,23371,4
152,30623,35203,32495,33680,1
153,13052,17735,19325,15908,3
154,7955,37054,29123,5082,4
155,30306,25405,6025,4127,4
156,39951,2134,5836,39069,2
157,33317,36563,25702,31086,3
158,20889,27105,22809,33484,4
159,20590,25018,6289,34329,4
160,12799,20964,26264,37040,3
161,25631,35637,36294,8373,3
162,33603,25356,35691,34569,4
163,14839,23005,39658,29054,3
164,13147,28168,21060,37629,3
165,38714,23559,35262,39532,4
166,39398,23763,34576,367,0
167,33717,13722,38316,19092,2
168,17218,12920,10373,16284,3
169,39401,17065,23068,38799,2
170,27839,11809,27259,19873,1
171,25688,21543,949,22695,1
172,8124,18247,15811,643,4
173,12996,33897,11457,38773,4
174,18052,14131,36968,38670,3
175,26106,33830,13666,11718,1
176,22312,15307,24670,2910,0
177,26794,10254,30441,35550,3
178,9153,5972,24881,23418,3
179,11741,6178,12110,24641,0
180,19539,32555,26377,28679,0
181,14270,29069,13596,7650,0
182,34228,36587,28173,27505,1
183,28812,27119,841,2812,2
184,35621,26787,6967,26635,3
185,16215,1444,31384,20121,4
186,17694,2956,8704,39274,0
187,1647,18274,11117,30642,2
188,29462,32885,19649,3642,2
189,15195,15787,28017,38403,3
190,29243,1196,16255,24012,1
191,12499,28988,18160,713,1
192,36022,15800,17474,20841,1
193,3295,13082,29797,14528,4
194,16283,27717,11736,7409,0
195,31519,5145,8448,6858,0
196,27880,4592,3402,9002,4
197,5239,25871,14868,2945,0
198,26370,7816,35976,8253,3
199,5177,19865,9518,27385,0
200,33361,6209,3947,18925,0
201,11516,7950,1309,39525,2
202,15401,14503,29735,11139,1
203,5275,4512,12350,3455,4
204,17100,33251,4828,28963,0
205,32899,16853,29478,5905,3
206,34367,18748,16916,19389,0
207,32216,22471,11700,32455,4
208,14040,37012,35019,34276,3
209,10563,38793,25653,7645,0
210,39432,27259,32225,7375,0
211,598,38727,38772,711,4
212,11468,21145,32109,11608,3
213,39077,25396,22576,23782,1
214,37309,38508,744,32994,0
215,34943,24517,32506,12447,4
216,15584,10357,36748,11317,1
217,33131,36181,26789,16844,0
218,8092,12242,38095,1347,4
219,7106,21340,25190,361,0
220,15161,16170,17291,27045,1
221,9380,14063,25406,38886,1
222,12646,13111,38212,14045,1
223,17519,15649,11813,12870,0
224,7592,37218,2789,31863,2
225,4323,22129,3594,6102,2
226,8055,34283,7450,3129,3
227,37706,9917,28361,26183,2
228,7277,26779,16284,2927,0
229,21786,3105,2885,31468,0
230,38634,29707,26392,39375,3
231,15387,5383,7653,2728,2
232,13298,9949,37475,20296,2
233,9068,2507,32240,29659,3
234,13920,32071,1782,20526,4
235,22472,28477,30808,4744,2
236,11391,10171,23040,6816,3
237,22193,14141,13077,9502,3
238,29454,33756,26954,35053,3
239,38164,17810,14804,33469,2
240,8822,11491,30741,6944,3
241,532,31433,30875,35937,0
242,29241,24630,31543,30521,4
243,36589,22807,15748,11877,4
244,19990,19539,25346,33094,1
245,18282,18613,30462,4334,0
246,23110,30550,21164,15568,3
247,3729,27835,35864,6489,0
248,13435,29887,30962,18864,0
249,4122,26594,20896,35534,1
250,25828,13237,12002,22202,1
251,8508,17046,33669,32534,4
252,22028,39580,24494,5553,1
253,10581,318,30692,14939,3
254,27260,35374,1866,32867,2
255,23771,39489,20219,33254,1
256,377,2672,39854,3030,4
257,4079,4600,5848,36996,0
258,25063,30683,17076,32935,0
259,4127,15020,5192,27827,2
260,34532,28495,17522,36990,0
261,38948,10419,15396,29951,1
262,23594,3333,31355,21361,0
263,28500,31591,18975,28240,3
264,3388,35367,35686,3478,4
265,17673,25024,32100,37518,1
266,11835,35423,36194,32567,4
267,3918,27983,33480,16959,4
268,7343,28166,21860,10379,0
269,39251,14263,17560,19827,2
270,34946,25470,27247,25254,0
271,3595,36881,17712,23204,3
272,22021,26772,3042,9419,1
273,36328,21594,1188,20336,2
274,38007,36459,948,29079,2
275,28356,34422,36744,25911,0
276,3546,6973,7642,14697,2
