Dimension,Bucket,Query,InputPoints,QueryBox,TargetBox,TargetSimilarity,Constraints,Solver,Runtime,Similarity,Status
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,Dinkelbach_WS_Grid,494.1915,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,Dinkelbach_NoWS,824.2522,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BinarySearch_NoGrid,161.03,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BinarySearch_WS_Grid,189.7333,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BFSMP,48.0965,0.973487,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,Dinkelbach_WS_Grid,57.2949,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,Dinkelbach_NoWS,309.2763,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BinarySearch_NoGrid,181.7525,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BinarySearch_WS_Grid,105.2081,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BFSMP,3.597e-05,1.0,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,Dinkelbach_WS_Grid,186.532,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,Dinkelbach_NoWS,1513.4721,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BinarySearch_NoGrid,TIMEOUT,TIMEOUT,Timeout
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BinarySearch_WS_Grid,834.8272,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,Dinkelbach_WS_Grid,TIMEOUT,TIMEOUT,Timeout
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,Dinkelbach_NoWS,1284.8317,0.981578947368421,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BinarySearch_NoGrid,306.8893,0.981565086531227,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BinarySearch_WS_Grid,197.6336,0.981578947368421,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
